42.2391,43.0174,4,2.4185,0.8228,29503,29503,51.06500242,-114.1450491,138.5712,0,4,0.2588,-0.1241,-0.1241,1.0347,0,0,1
41.8099,43.4489,4,2.4255,0.962,30003,30003,51.06500139,-114.1450576,138.9683,0,4,0.268,-0.0507,-0.0507,1.2929,0,0,1
41.4273,43.8736,4,2.4319,1.0217,30503,30503,51.06500067,-114.1450657,139.3362,0,4,0.2222,-0.05,-0.05,1.4853,0,0,1
40.9686,44.5,4,2.4375,1.0414,31003,31003,51.0650004,-114.1450768,139.6594,0,4,0.1933,-0.0327,-0.0327,1.5339,0,0,1
40.5216,45.0362,4,2.4398,0.9413,31503,31503,51.06499976,-114.1450868,139.7929,0,4,0.1744,-0.0704,-0.0704,1.3047,0,0,1
40.1181,45.5353,4,2.4513,0.8478,32003,32003,51.06499926,-114.1450959,140.4502,0,4,0.1726,-0.0906,-0.0906,1.0895,0,0,1
39.7331,46.0092,4,2.4612,0.8698,32503,32503,51.06499878,-114.1451046,141.0143,0,4,0.2079,-0.1541,-0.1541,1.2139,0,0,1
39.3298,46.4297,4,2.4689,0.9084,33003,33003,51.06499789,-114.1451128,141.457,0,4,0.2258,-0.1694,-0.1694,1.3265,0,0,1
39.0304,46.8622,4,2.4773,1.0156,33503,33503,51.06499783,-114.1451204,141.9413,0,4,0.2464,-0.1607,-0.1607,1.6055,0,0,1
38.7549,47.3234,4,2.4786,1.1392,34003,34003,51.06499809,-114.145128,142.013,0,4,0.3097,-0.1588,-0.1588,1.9616,0,0,1
38.5453,47.8184,4,2.4807,1.3606,34503,34503,51.06499902,-114.1451356,142.1327,0,4,0.3736,-0.2549,-0.2549,2.8672,0,0,1
38.3206,48.2541,4,2.4922,1.5027,35003,35003,51.06499954,-114.1451426,142.7943,0,4,0.309,-0.2553,-0.2553,3.4891,0,0,1
38.1601,48.7773,4,2.4926,1.0811,35503,35503,51.06500097,-114.14515,142.8149,0,4,0.433,-0.1018,-0.1018,1.6408,0,0,1
38.2593,49.1779,4,2.5012,1.1649,36003,36003,51.06500372,-114.145154,143.3067,0,4,0.5726,-0.1094,-0.1094,1.8616,0,0,1
38.5314,49.554,4,2.5085,0.9622,36503,36503,51.06500764,-114.1451563,143.7282,0,4,0.4679,-0.0128,-0.0128,1.1514,0,0,1
38.9837,49.9004,4,2.5104,1.0092,37003,37003,51.06501276,-114.1451568,143.8363,0,4,0.6122,-0.1505,-0.1505,1.4063,0,0,1
